iter	RMSE	MAE
4210	7927.290946	4425.168533
4215	7927.249886	4425.108267
4220	7927.212408	4425.046667
4225	7927.173001	4424.9864
4230	7927.132215	4424.925333
4235	7927.093083	4424.864267
4240	7927.053676	4424.804533
4245	7927.014819	4424.744267
4250	7926.974584	4424.682667
4255	7926.934624	4424.6232
4260	7926.895491	4424.561333
4265	7926.855256	4424.500267
4270	7926.816674	4424.4392
4275	7926.776162	4424.377867
4280	7926.737304	4424.3176
4285	7926.697619	4424.257067
4290	7926.657934	4424.1968
4295	7926.618524	4424.136267
4300	7926.578838	4424.074667
4305	7926.539979	4424.0136
4310	7926.500293	4423.953333
4315	7926.460882	4423.892
4320	7926.421196	4423.8312
4325	7926.381233	4423.7696
4330	7926.342924	4423.709067
4335	7926.303237	4423.648533
4340	7926.26355	4423.587467
4345	7926.224414	4423.527733
4350	7926.183623	4423.4672
4355	7926.14366	4423.4056
4360	7926.105626	4423.345867
4365	7926.065937	4423.284267
4370	7926.027076	4423.224533
4375	7925.98656	4423.164
4380	7925.94632	4423.102667
4385	7925.906355	4423.041333
4390	7925.868595	4422.980533
4395	7925.830008	4422.919467
4400	7925.789767	4422.8584
4405	7925.748975	4422.7984
4410	7925.709009	4422.737333
4415	7925.670422	4422.676533
4420	7925.631834	4422.616
4425	7925.591592	4422.5552
4430	7925.552728	4422.4944
4435	7925.51221	4422.434667
4440	7925.473897	4422.3744
4445	7925.434756	4422.313867
4450	7925.394789	4422.252533
4455	7925.354546	4422.192
4460	7925.315957	4422.1312
4465	7925.275989	4422.070933
4470	7925.235469	4422.010133
4475	7925.196328	4421.948533
4480	7925.156911	4421.8872
4485	7925.118596	4421.826133
4490	7925.080832	4421.765867
4495	7925.037004	4421.7056
4500	7924.99924	4421.6448
4505	7924.959546	4421.584267
4510	7924.920955	4421.523733
4515	7924.882639	4421.463467
4520	7924.842393	4421.402667
4525	7924.80132	4421.3424
4530	7924.762728	4421.2816
4535	7924.723309	4421.219733
4540	7924.683338	4421.159733
4545	7924.644194	4421.0984
4550	7924.605601	4421.037867
4555	7924.565905	4420.977333
4560	7924.526209	4420.9176
4565	7924.486237	4420.856267
4570	7924.446816	4420.796
